Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 10:00 pm,Takes Reservations,No,Island Grill,https://www.yelp.com/adredir?ad_business_id=16_FpIKkWBTUEFQIOSYwAw&campaign_id=UpDkYNUc2MsuKesAz7AC-A&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fisland-grill-bellevue&request_id=77daf648cdb60063&signature=10048f1f799085808f1420ed3250129f950dfa837489d6fe6c8156d4082af200&slot=0,The Black Duck Cask and Bottle,https://www.yelp.com/biz/the-black-duck-cask-and-bottle-issaquah?page_src=related_bizes
Tue,11:00 am - 10:00 pm,Delivery,No,Inchin’s Bamboo Garden,https://www.yelp.com/adredir?ad_business_id=os7miEM2rKc9fcJxyAHTgg&campaign_id=UR-OlbNSZC1fr_fsHKmncw&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Finchins-bamboo-garden-bellevue&request_id=77daf648cdb60063&signature=4382bc716856f3b2b8da4bfdb5af3ee2c8f855160dfe2819a381667a324af0e7&slot=1,Issaquah Cafe,https://www.yelp.com/biz/issaquah-cafe-issaquah?page_src=related_bizes
Wed,11:00 am - 10:00 pm,Take-out,Yes,,,Five Guys,https://www.yelp.com/biz/five-guys-issaquah?page_src=related_bizes
Thu,11:00 am - 10:00 pm,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 11:00 pm,Accepts Apple Pay,No,,,,
Sat,11:00 am - 11:00 pm,Accepts Android Pay,No,,,,
Sun,11:00 am - 10:00 pm,Good For,"Lunch, Dinner",,,,
,,Parking,Private Lot,,,,
,,Bike Parking,Yes,,,,
,,Wheelchair Accessible,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,Yes,,,,
,,Wi-Fi,No,,,,
,,Has TV,Yes,,,,
,,Waiter Service,Yes,,,,
,,Caters,No,,,,
