Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 10:00 pm,Takes Reservations,No,Palmina’s,https://www.yelp.com/adredir?ad_business_id=oF_vv0btj9CqJJPUSNJcRw&campaign_id=Rp2aIRiQ-LCcRyAzBnVoPA&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fpalminas-morgan-hill&request_id=3f1cc22f7d922150&signature=7e8aab1ce6a14f8cf7aaab0003584509c0fb4a55400fc56496db837ae04dba34&slot=0,"MOOYAH Burgers, Fries & Shakes",https://www.yelp.com/biz/mooyah-burgers-fries-and-shakes-morgan-hill-17?page_src=related_bizes
Tue,11:00 am - 10:00 pm,Delivery,No,La Hacienda Mexican Restaurant,https://www.yelp.com/adredir?ad_business_id=yYbUT9z7uXYuX2lQeD-BSQ&campaign_id=KzL2lITFVhunTd2y6gFWzw&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fla-hacienda-mexican-restaurant-morgan-hill&request_id=3f1cc22f7d922150&signature=2075d60f23a799586c65f0832ad4202f39468316eb2e6ca33493fa535abd2a6f&slot=1,The Hill Bar & Grill,https://www.yelp.com/biz/the-hill-bar-and-grill-morgan-hill?page_src=related_bizes
Wed,11:00 am - 10:00 pm,Take-out,Yes,,,Ladera Grill,https://www.yelp.com/biz/ladera-grill-morgan-hill-2?page_src=related_bizes
Thu,11:00 am - 10:00 pm,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 11:00 pm,Accepts Apple Pay,Yes,,,,
Sat,11:00 am - 11:00 pm,Good For,"Lunch, Dinner",,,,
Sun,11:00 am - 10:00 pm,Parking,Private Lot,,,,
,,Bike Parking,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,No,,,,
,,Has TV,Yes,,,,
,,Caters,No,,,,
