Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 12:00 am,Takes Reservations,No,TOGO’S Sandwiches,https://www.yelp.com/adredir?ad_business_id=ZvGsEfPuMudrW3aJqXtqyw&campaign_id=5jlBqEynxg4b6exxaZKllQ&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Ftogos-sandwiches-davis&request_id=dae7dc60ee928570&signature=4d18db132f1dd883cb80c3fb82d8ef72370e6d710534ed9127e87067632f234a&slot=0,Burgers and Brew,https://www.yelp.com/biz/burgers-and-brew-davis?page_src=related_bizes
Tue,11:00 am - 12:00 am,Delivery,No,Cache Creek Casino Resort,https://www.yelp.com/adredir?ad_business_id=cfzhuCxzcC37-yQahpvieQ&campaign_id=qaEKbuBJYnEFz3vMjnsB7A&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fcache-creek-casino-resort-brooks-3&request_id=dae7dc60ee928570&signature=c04a8392fe72da7224509090466b90374faa880ab5b92a7a34ef5126dec2bb8b&slot=1,De Vere’s Irish Pub,https://www.yelp.com/biz/de-veres-irish-pub-davis-2?page_src=related_bizes
Wed,11:00 am - 12:00 am,Take-out,Yes,,,Black Bear Diner,https://www.yelp.com/biz/black-bear-diner-davis?page_src=related_bizes
Thu,11:00 am - 12:00 am,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 12:00 am,Good For,"Lunch, Dinner",,,,
Sat,11:00 am - 12:00 am,Parking,Private Lot,,,,
Sun,11:00 am - 12:00 am,Bike Parking,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Happy Hour,Yes,,,,
,,Best Nights,"Thu, Fri, Sat",,,,
,,Outdoor Seating,Yes,,,,
,,Wi-Fi,Free,,,,
,,Has TV,Yes,,,,
,,Caters,No,,,,
,,Has Pool Table,No,,,,
,,Gender Neutral Restrooms,Yes,,,,
