Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 1:00 am,Takes Reservations,Yes,,,Jackson Square Grill,https://www.yelp.com/biz/jackson-square-grill-columbus-2?page_src=related_bizes
Tue,11:00 am - 1:00 am,Delivery,No,,,Sey’s Sports Bar & Grill,https://www.yelp.com/biz/seys-sports-bar-and-grill-columbus-2?page_src=related_bizes
Wed,11:00 am - 1:00 am,Take-out,Yes,,,Zachary’s,https://www.yelp.com/biz/zacharys-columbus?page_src=related_bizes
Thu,11:00 am - 1:00 am,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 1:00 am,Parking,Private Lot,,,,
Sat,11:00 am - 1:00 am,Bike Parking,Yes,,,,
Sun,11:00 am - 12:00 am,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Happy Hour,Yes,,,,
,,Waiter Service,Yes,,,,
,,Drive-Thru,No,,,,
