Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 10:00 pm,Takes Reservations,No,J DUB,https://www.yelp.com/adredir?ad_business_id=Gun4FfEj-8wqB-E7PwAf0Q&campaign_id=2nemxBY-H38bOxdfQ19mkw&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fj-dub-bend&request_id=a7ac2e8052d89488&signature=f0d0e839963cd17f69c5e967e9d13457e21c13f198040e79492e50000fa1d943&slot=0,McKay Cottage Restaurant,https://www.yelp.com/biz/mckay-cottage-restaurant-bend?page_src=related_bizes
Tue,11:00 am - 10:00 pm,Delivery,No,Mother’s Downtown Kitchen,https://www.yelp.com/adredir?ad_business_id=q59Y3dgkIafCw2Pbu_gyHg&campaign_id=FAcjnf_CHdTsLX7xwDaNLA&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmothers-downtown-kitchen-bend&request_id=a7ac2e8052d89488&signature=77bc38f23cd24ab51262f5124e2d403b80bec48a7791d0b34cf8470689ed0350&slot=1,Cheerleaders Grill,https://www.yelp.com/biz/cheerleaders-grill-bend?page_src=related_bizes
Wed,11:00 am - 10:00 pm,Take-out,Yes,,,J DUB,https://www.yelp.com/biz/j-dub-bend?page_src=related_bizes
Thu,11:00 am - 10:00 pm,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 11:00 pm,Accepts Apple Pay,No,,,,
Sat,11:00 am - 11:00 pm,Good For,"Dinner, Dessert",,,,
Sun,11:00 am - 10:00 pm,Parking,Private Lot,,,,
,,Bike Parking,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Happy Hour,Yes,,,,
,,Best Nights,"Wed, Thu",,,,
,,Coat Check,No,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,No,,,,
,,Has TV,Yes,,,,
,,Waiter Service,Yes,,,,
,,Drive-Thru,No,,,,
,,Caters,No,,,,
,,Has Pool Table,No,,,,
