Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 12:00 am,Takes Reservations,No,,,Beer 88,https://www.yelp.com/biz/beer-88-lynchburg?page_src=related_bizes
Tue,11:00 am - 12:00 am,Delivery,No,,,Taste of Philly,https://www.yelp.com/biz/taste-of-philly-lynchburg?page_src=related_bizes
Wed,11:00 am - 12:00 am,Take-out,Yes,,,Shakers Restaurant,https://www.yelp.com/biz/shakers-restaurant-lynchburg?page_src=related_bizes
Thu,11:00 am - 12:00 am,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 12:00 am,Good for Kids,Yes,,,,
Sat,11:00 am - 12:00 am,Good for Groups,Yes,,,,
Sun,11:00 am - 12:00 am,Attire,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,Free,,,,
,,Has TV,Yes,,,,
