Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 1:00 am,Takes Reservations,No,Buddy’s Bar-B-Q - Sevierville,https://www.yelp.com/adredir?ad_business_id=Tsovb9M_CDSj1UkdwdrG9g&campaign_id=i1dUgmKbjat2OLIYZanpTA&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbuddys-bar-b-q-sevierville-sevierville-2&request_id=b57833ba93661335&signature=8f6c7f2f11c4433a920b3b2cab3d110afa07c4d5d8c48c9757f069d6e6c2e8bc&slot=0,O’Charley’s Restaurant & Bar,https://www.yelp.com/biz/o-charleys-restaurant-and-bar-knoxville-3?page_src=related_bizes
Tue,11:00 am - 1:00 am,Delivery,No,McDonald’s,https://www.yelp.com/adredir?ad_business_id=mMtxHTA55CB71oskObN0Bg&campaign_id=atB9ZUH-SRGTKQkFNALLxA&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmcdonalds-knoxville-31&request_id=b57833ba93661335&signature=48ad964afc83d614ae7fc446925db9d6fae2249a9cf9ce2baa65116fcc64c5bc&slot=1,Burger Stop,https://www.yelp.com/biz/burger-stop-knoxville?page_src=related_bizes
Wed,11:00 am - 1:00 am,Take-out,Yes,,,Aubrey’s,https://www.yelp.com/biz/aubreys-knoxville-10?page_src=related_bizes
Thu,11:00 am - 1:00 am,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 1:00 am,Bike Parking,No,,,,
Sat,11:00 am - 1:00 am,Good for Kids,Yes,,,,
Sun,11:00 am - 12:00 am,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,Free,,,,
,,Has TV,Yes,,,,
,,Caters,Yes,,,,
,,Has Pool Table,No,,,,
