Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 1:00 am,Takes Reservations,No,,,Jefferson’s,https://www.yelp.com/biz/jeffersons-rome?page_src=related_bizes
Tue,11:00 am - 1:00 am,Delivery,No,,,O’Charley’s Restaurant & Bar,https://www.yelp.com/biz/o-charleys-restaurant-and-bar-rome?page_src=related_bizes
Wed,11:00 am - 1:00 am,Take-out,Yes,,,Rome City Brewing,https://www.yelp.com/biz/rome-city-brewing-rome?page_src=related_bizes
Thu,11:00 am - 2:00 am,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 2:00 am,Good for Kids,No,,,,
Sat,11:00 am - 2:00 am,Good for Groups,Yes,,,,
Sun,11:00 am - 12:00 am,Attire,Casual,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,No,,,,
,,Has TV,Yes,,,,
