Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 11:00 pm,Takes Reservations,Yes,McDonald’s,https://www.yelp.com/adredir?ad_business_id=N2oYP95OzKqbulTU1j9tig&campaign_id=6yDYrFT-DiUyKB1EZTFAjw&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmcdonalds-horseheads-2&request_id=396424f9b40365a0&signature=da02f18eb61e3799ee5277f8dd722912597f007a8116f599a99bde85b61b61e1&slot=0,Texas Roadhouse,https://www.yelp.com/biz/texas-roadhouse-horseheads?page_src=related_bizes
Tue,11:00 am - 11:00 pm,Delivery,No,,,Olive Garden Italian Restaurant,https://www.yelp.com/biz/olive-garden-italian-restaurant-horseheads-2?page_src=related_bizes
Wed,11:00 am - 11:00 pm,Take-out,Yes,,,Buffalo Wild Wings,https://www.yelp.com/biz/buffalo-wild-wings-horseheads?page_src=related_bizes
Thu,11:00 am - 11:00 pm,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 12:00 am,Bike Parking,Yes,,,,
Sat,11:00 am - 12:00 am,Good for Kids,Yes,,,,
Sun,11:00 am - 11:00 pm,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Alcohol,Full Bar,,,,
,,Happy Hour,Yes,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,Free,,,,
,,Has TV,Yes,,,,
,,Has Pool Table,No,,,,
