Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
,,Takes Reservations,Yes,Italian Centre Shop,https://www.yelp.com/adredir?ad_business_id=Wc2dOe5VdFoYwc-0wvkhwg&campaign_id=xm_PYJppdgRlSLdVLJVNQA&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fitalian-centre-shop-edmonton&request_id=d3e5eb839453baee&signature=709cc4a3f834301b3044254b9a701561b49fd119fed21ab84165b42ecbb84835&slot=0,Browns Socialhouse,https://www.yelp.com/biz/browns-socialhouse-edmonton-3?page_src=related_bizes
,,Delivery,No,Chinese Szechuan Stir Fry,https://www.yelp.com/adredir?ad_business_id=XO657DRd4HH-dy9NNWpxdw&campaign_id=ilBnCj0ibZ7xOnviH_bsdg&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fchinese-szechuan-stir-fry-edmonton&request_id=d3e5eb839453baee&signature=17357558f2eda9e314c118194334db64d917c3b3003270a0c544e29f590e5f13&slot=1,852 Hong Kong Cafe,https://www.yelp.com/biz/852-hong-kong-cafe-edmonton?page_src=related_bizes
,,Take-out,Yes,,,Browns Socialhouse West Henday,https://www.yelp.com/biz/browns-socialhouse-west-henday-edmonton?page_src=related_bizes
,,Accepted Cards,"Credit, Debit",,,,
,,Bike Parking,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Noise Level,Loud,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,Yes,,,,
,,Wi-Fi,Free,,,,
,,Has TV,Yes,,,,
,,Caters,No,,,,
,,Has Pool Table,No,,,,
