Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 11:00 pm,Takes Reservations,No,Pete’s Chicken N More,https://www.yelp.com/adredir?ad_business_id=0HH16QhdqvkvgQIZ-5SNpg&campaign_id=FEgyibx2YRHaqaruZZ745w&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fpetes-chicken-n-more-corpus-christi&request_id=579a5e83878a7d1f&signature=6a95b888e82abce25da917e5ca7eb774632606fa41d36f498522dcd4f2443642&slot=0,Executive Surf Club,https://www.yelp.com/biz/executive-surf-club-corpus-christi?page_src=related_bizes
Tue,11:00 am - 11:00 pm,Delivery,No,Souper Salad,https://www.yelp.com/adredir?ad_business_id=TcFJ-_4krqm63L0piq937w&campaign_id=jkYxipUNyOBKkSyEuxjcqA&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsouper-salad-corpus-christi-2&request_id=579a5e83878a7d1f&signature=ac9db7b147096fd466b2f5aa9c499ebe36d076979e008eec200e652a92254cb7&slot=1,House Of Rock,https://www.yelp.com/biz/house-of-rock-corpus-christi?page_src=related_bizes
Wed,11:00 am - 11:00 pm,Take-out,Yes,,,The Grille - CLOSED,https://www.yelp.com/biz/the-grille-ingleside?page_src=related_bizes
Thu,11:00 am - 11:00 pm,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 12:00 am,Accepts Apple Pay,No,,,,
Sat,11:00 am - 12:00 am,Good For,"Brunch, Dessert",,,,
Sun,11:00 am - 10:30 pm,Bike Parking,No,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,No,,,,
,,Has TV,Yes,,,,
,,Caters,No,,,,
,,Has Pool Table,No,,,,
