Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 11:00 pm,Takes Reservations,Yes,Pizza Paddle,https://www.yelp.com/adredir?ad_business_id=XaEcpv_2RKIqBOoXhGbiiQ&campaign_id=1aK9QUqCWol2p_iN52XHkQ&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fpizza-paddle-jacksonville&request_id=9cadd4cad6eb8e5d&signature=1656351dac3897d62615e2d7d328a666eacf12b74440c3564bfd9f7c3b2b3a8b&slot=0,Miller’s Ale House - Mandarin,https://www.yelp.com/biz/millers-ale-house-mandarin-jacksonville?page_src=related_bizes
Tue,11:00 am - 11:00 pm,Delivery,No,Cowford Chophouse,https://www.yelp.com/adredir?ad_business_id=JKAzThCPSDeoaQ7MZYGnKw&campaign_id=IS0Sfc1Nvf6sZS-JbiKArg&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fthe-cowford-chophouse-jacksonville&request_id=9cadd4cad6eb8e5d&signature=1c3a2aee188fe3a961bf10e7d7efc09452cbdc2c87f3ec798caffb8d46f46dfd&slot=1,Bonefish Grill,https://www.yelp.com/biz/bonefish-grill-jacksonville?page_src=related_bizes
Wed,11:00 am - 11:00 pm,Take-out,Yes,,,St Marys Seafood & More,https://www.yelp.com/biz/st-marys-seafood-and-more-jacksonville?page_src=related_bizes
Thu,11:00 am - 11:00 pm,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 11:00 pm,Good For,Dessert,,,,
Sat,11:00 am - 12:00 am,Bike Parking,Yes,,,,
Sun,11:00 am - 11:00 pm,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Happy Hour,Yes,,,,
,,Best Nights,Thu,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,Free,,,,
,,Has TV,Yes,,,,
,,Caters,Yes,,,,
,,Has Pool Table,No,,,,
