Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 11:00 pm,Takes Reservations,No,Roy’s Restaurant,https://www.yelp.com/adredir?ad_business_id=qOrd_jWT3e16_wwRSpvYwQ&campaign_id=Nkg3V0vJNdhoV-oFFihCig&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Froys-restaurant-tampa-2&request_id=a92084310e4924c1&signature=39ab9b8b4b5a50963e0e33bbb7645600200d730d84bfe2dc9ab278a7ff9500d2&slot=0,Cooper’s Hawk,https://www.yelp.com/biz/coopers-hawk-winery-and-restaurants-tampa?page_src=related_bizes
Tue,11:00 am - 11:00 pm,Delivery,No,Chica’s Taco Bar,https://www.yelp.com/adredir?ad_business_id=vx8d8r0tpVKnVNNKSdb_iQ&campaign_id=P7or996lmTLOviJyX2lMJQ&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fchicas-taco-bar-clearwater&request_id=a92084310e4924c1&signature=dcb7250ebfa91644308eb6f348fa8a3842510804237bd4d6f59a08c688599c86&slot=1,Duffy’s Sports Grill,https://www.yelp.com/biz/duffys-sports-grill-tampa-2?page_src=related_bizes
Wed,11:00 am - 11:00 pm,Take-out,Yes,,,Brick House Tavern + Tap,https://www.yelp.com/biz/brick-house-tavern-tap-tampa-2?page_src=related_bizes
Thu,11:00 am - 11:00 pm,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 12:00 am,Accepts Apple Pay,No,,,,
Sat,11:00 am - 12:00 am,Good For,"Lunch, Dinner, Dessert",,,,
Sun,11:00 am - 11:00 pm,Parking,Private Lot,,,,
,,Bike Parking,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Good For Dancing,No,,,,
,,Alcohol,Full Bar,,,,
,,Happy Hour,Yes,,,,
,,Coat Check,No,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,No,,,,
,,Has TV,Yes,,,,
,,Waiter Service,Yes,,,,
,,Caters,No,,,,
,,Has Pool Table,No,,,,
