Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 2:00 am Open now,Takes Reservations,Yes,Maìz Mexican Cantina,https://www.yelp.com/adredir?ad_business_id=nfCSWsUpuZ755D0ihioVvQ&campaign_id=mILfdRXmk21zz7U4C8d3Yg&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fma%25C3%25ACz-mexican-cantina-ypsilanti-2&request_id=61088de20e84b531&signature=a0cde83b96844e3626ab530f494ead079b82976c0d63e839ace9bf5fd8de6621&slot=0,Applebee’s Neighborhood Grill & Bar,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-ann-arbor-6?page_src=related_bizes
Tue,11:00 am - 2:00 am,Delivery,No,Palm Palace,https://www.yelp.com/adredir?ad_business_id=NuIAr4kgN_OiAJEAKSDmzQ&campaign_id=sIU2riQf5IE-_X6-vH__Gw&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fpalm-palace-ann-arbor&request_id=61088de20e84b531&signature=215b299ff8cc96528ed0152831f9028060adadb542aa67f97f262538794a3717&slot=1,Mr Spots,https://www.yelp.com/biz/mr-spots-ann-arbor?page_src=related_bizes
Wed,11:00 am - 2:00 am,Take-out,Yes,,,Hunter House Hamburgers,https://www.yelp.com/biz/hunter-house-hamburgers-ann-arbor?page_src=related_bizes
Thu,11:00 am - 2:00 am,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 2:00 am,Accepts Apple Pay,No,,,,
Sat,11:00 am - 2:00 am,Parking,Private Lot,,,,
Sun,11:00 am - 2:00 am,Bike Parking,No,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,Yes,,,,
,,Wi-Fi,Free,,,,
,,Has TV,Yes,,,,
,,Caters,No,,,,
