Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 10:00 pm,Takes Reservations,No,Carousel Restaurant & Bistro,https://www.yelp.com/adredir?ad_business_id=hHB5UncmJSnBUhmmxyi9Uw&campaign_id=hVpOqfVh8QYAoRZaCXtlmg&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fcarousel-restaurant-and-bistro-yakima&request_id=05283260060dc3d7&signature=f1703bf8b9ddfc3d5cb22dc755815279a0eebb84867d66c921a782b717c2e629&slot=0,Bob’s Burgers and Brew - Yakima,https://www.yelp.com/biz/bobs-burgers-and-brew-yakima-yakima?page_src=related_bizes
Tue,11:00 am - 10:00 pm,Delivery,No,Denny’s,https://www.yelp.com/adredir?ad_business_id=TmqRlBxgSdgLQxZWhVN1yw&campaign_id=phQTtquHldmIBTEUk1QsnA&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdennys-yakima-2&request_id=05283260060dc3d7&signature=c3fdb3d07e0013ac9686c9b3d40706b3e8bd2076b858f470a660439b61282394&slot=1,Cowiche Canyon Kitchen+Icehouse,https://www.yelp.com/biz/cowiche-canyon-kitchen-icehouse-yakima?page_src=related_bizes
Wed,11:00 am - 10:00 pm,Take-out,Yes,,,Miner’s Drive-In Restaurant,https://www.yelp.com/biz/miners-drive-in-restaurant-yakima?page_src=related_bizes
Thu,11:00 am - 10:00 pm,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 11:00 pm,Accepts Android Pay,No,,,,
Sat,11:00 am - 11:00 pm,Good For,"Lunch, Dinner, Dessert",,,,
Sun,11:00 am - 10:00 pm,Parking,Private Lot,,,,
,,Bike Parking,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,No,,,,
,,Has TV,Yes,,,,
,,Caters,Yes,,,,
