Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:30 am - 10:00 pm,Takes Reservations,Yes,,,FOC,https://www.yelp.com/biz/foc-singapore?page_src=related_bizes
Tue,11:30 am - 10:00 pm,Take-out,Yes,,,Chicken Up,https://www.yelp.com/biz/chicken-up-singapore?page_src=related_bizes
Wed,11:30 am - 11:00 pm,Good for Kids,Yes,,,Café Iguana,https://www.yelp.com/biz/caf%C3%A9-iguana-singapore-2?page_src=related_bizes
Thu,11:30 am - 11:00 pm,Good for Groups,Yes,,,,
Fri,11:30 am - 12:00 am,Attire,Casual,,,,
Sat,11:30 am - 12:00 am,Ambience,Casual,,,,
Sun,11:30 am - 12:00 am,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Happy Hour,Yes,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,Free,,,,
,,Has TV,Yes,,,,
,,Delivery,Yes,,,,
,,Accepted Cards,"Credit, Debit",,,,
,,Caters,Yes,,,,
