Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 11:00 pm,Takes Reservations,Yes,Central City BBQ,https://www.yelp.com/adredir?ad_business_id=aLsbsBbaJzYw3chcdQlCIw&campaign_id=UpmcQV0c375QOroCJQTSQg&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fcentral-city-bbq-new-orleans&request_id=ccca23658cfd4911&signature=376ac6ad6567c0cc775bad4ed4b41756c11af8f982df2557b944fa9f1954ce1a&slot=0,Walk-Ons Bistreaux and Bar,https://www.yelp.com/biz/walk-ons-bistreaux-and-bar-metairie?page_src=related_bizes
Tue,11:00 am - 11:00 pm,Delivery,No,Mid-City Yacht Club,https://www.yelp.com/adredir?ad_business_id=jrGaVL6KIwYpwivse_eKXw&campaign_id=WfqK2OEuQYyWaTD6p8G3WA&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmid-city-yacht-club-new-orleans&request_id=ccca23658cfd4911&signature=45f1a0e450a61e299ddcaab308f1d8b306079edaa4b55619b74cbf808c165bf8&slot=1,Bonefish Grill,https://www.yelp.com/biz/bonefish-grill-metairie?page_src=related_bizes
Wed,11:00 am - 11:00 pm,Take-out,Yes,,,Bobby Hebert’s Cajun Cannon,https://www.yelp.com/biz/bobby-heberts-cajun-cannon-metairie-3?page_src=related_bizes
Thu,11:00 am - 11:00 pm,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 12:00 am,Accepts Apple Pay,No,,,,
Sat,11:00 am - 12:00 am,Good For,"Lunch, Late Night, Dessert",,,,
Sun,11:00 am - 11:00 pm,Bike Parking,No,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Happy Hour,Yes,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,No,,,,
,,Has TV,Yes,,,,
,,Caters,Yes,,,,
,,Has Pool Table,No,,,,
