Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 10:00 pm,Takes Reservations,Yes,Dairy Queen,https://www.yelp.com/adredir?ad_business_id=ofWpPpKuvIB-GDHkRQoWPA&campaign_id=momXv6cRnwGGC9IpzheLCA&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdairy-queen-kerrville-3&request_id=1b32df4687eaa7c7&signature=a08393a6a7425ac2977842fdb1f58b2cd203ee0efd6268c976a2a8afb4e50fbd&slot=0,Francisco’s,https://www.yelp.com/biz/franciscos-kerrville?page_src=related_bizes
Tue,11:00 am - 10:00 pm,Delivery,No,,,Mamacita’s,https://www.yelp.com/biz/mamacitas-kerrville?page_src=related_bizes
Wed,11:00 am - 10:00 pm,Take-out,Yes,,,Grape Juice,https://www.yelp.com/biz/grape-juice-kerrville?page_src=related_bizes
Thu,11:00 am - 10:00 pm,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 11:00 pm,Parking,Private Lot,,,,
Sat,11:00 am - 11:00 pm,Bike Parking,Yes,,,,
Sun,11:00 am - 10:00 pm,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Divey,,,,
,,Noise Level,Loud,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,Yes,,,,
,,Has TV,Yes,,,,
,,Caters,No,,,,
