Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 10:00 pm,Takes Reservations,Yes,Carpo’s Restaurant,https://www.yelp.com/adredir?ad_business_id=E296skjHbGLnPUxsC9Dtew&campaign_id=LxozmuxTNs-MGXb78Rl-BA&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fcarpos-restaurant-soquel&request_id=95318f991ecf7791&signature=a56fa8a2a8849505830e9ef0e259a73c52cefb7c6059add3938cdbdc54aa8c90&slot=0,East End Gastropub,https://www.yelp.com/biz/east-end-gastropub-capitola?page_src=related_bizes
Tue,11:00 am - 10:00 pm,Delivery,No,Mayuri Indian Cuisine,https://www.yelp.com/adredir?ad_business_id=BypEJ2j8BaOiGJ6XCWjLZA&campaign_id=_mk94ZlPCfEcqoU7tIQT2A&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmayuri-indian-cuisine-santa-clara&request_id=95318f991ecf7791&signature=b45bef18779e56437ae075e0f36a4e75d23eefe28bed1919b52376d4b14b12b1&slot=1,Paradise Beach Grille,https://www.yelp.com/biz/paradise-beach-grille-capitola?page_src=related_bizes
Wed,11:00 am - 10:00 pm,Take-out,Yes,,,Shadowbrook,https://www.yelp.com/biz/shadowbrook-capitola?page_src=related_bizes
Thu,11:00 am - 10:00 pm,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 11:00 pm,Accepts Apple Pay,No,,,,
Sat,11:00 am - 11:00 pm,Good For,"Lunch, Dinner",,,,
Sun,11:00 am - 10:00 pm,Parking,Private Lot,,,,
,,Bike Parking,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Best Nights,Wed,,,,
,,Coat Check,No,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,No,,,,
,,Has TV,Yes,,,,
,,Caters,No,,,,
,,Has Pool Table,No,,,,
