Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 11:00 pm,Takes Reservations,No,,,Marilyn’s Restaurant,https://www.yelp.com/biz/marilyns-restaurant-mcalester?page_src=related_bizes
Tue,11:00 am - 11:00 pm,Delivery,No,,,RibCrib,https://www.yelp.com/biz/ribcrib-mcalester?page_src=related_bizes
Wed,11:00 am - 11:00 pm,Take-out,Yes,,,Las Marias Tex Mex,https://www.yelp.com/biz/las-marias-tex-mex-mcalester?page_src=related_bizes
Thu,11:00 am - 11:00 pm,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 12:00 am,Good For,"Lunch, Dinner",,,,
Sat,11:00 am - 12:00 am,Parking,Private Lot,,,,
Sun,11:00 am - 11:00 pm,Bike Parking,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,No,,,,
,,Has TV,Yes,,,,
,,Caters,Yes,,,,
,,Has Pool Table,No,,,,
