Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 11:00 pm,Takes Reservations,Yes,Pizza Hut,https://www.yelp.com/adredir?ad_business_id=7KAUtG0hghqWBiusqJB02g&campaign_id=60QXI-papt31_KYfDuqVVA&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fpizza-hut-bellevue&request_id=867e2833c370d1ad&signature=0c3e5609ca127514587f36e05a63f4c0d8e4aadc2f4b454ab23862a0d0ed482a&slot=0,Woodblock,https://www.yelp.com/biz/woodblock-redmond?page_src=related_bizes
Tue,11:00 am - 11:00 pm,Delivery,No,Water’s Table,https://www.yelp.com/adredir?ad_business_id=u0UcJw194W9QEKMc-yxbJA&campaign_id=ROpncczT_d4pte_8CAfHbQ&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fwaters-table-renton-6&request_id=867e2833c370d1ad&signature=1063c0586298a28fc992466b5368aab4fdfe7548a19104a9e582814eae1255ea&slot=1,The Dub Pub,https://www.yelp.com/biz/the-dub-pub-kirkland?page_src=related_bizes
Wed,11:00 am - 11:00 pm,Take-out,Yes,,,The Stone House,https://www.yelp.com/biz/the-stone-house-redmond?page_src=related_bizes
Thu,11:00 am - 11:00 pm,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 12:00 am,Accepts Apple Pay,No,,,,
Sat,10:00 am - 12:00 am,Accepts Android Pay,No,,,,
Sun,10:00 am - 11:00 pm,Good For,"Lunch, Dinner",,,,
,,Parking,Private Lot,,,,
,,Bike Parking,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,Yes,,,,
,,Wi-Fi,Free,,,,
,,Has TV,Yes,,,,
,,Caters,Yes,,,,
