Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:30 am - 11:00 pm,Takes Reservations,Yes,Hopkins Poultry,https://www.yelp.com/adredir?ad_business_id=i_JR4CHZEIw7RP-s_IwXsQ&campaign_id=O1hJPZeVgcsY6GJ6GLVfYw&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fhopkins-poultry-browns-summit&request_id=c2dc93172eb6841b&signature=5c392cdacb5a70e5e293a030802fbdbcf83d645ec626869508e954b6b8efb9f9&slot=0,Hops Burger Bar,https://www.yelp.com/biz/hops-burger-bar-greensboro?page_src=related_bizes
Tue,11:30 am - 11:00 pm,Delivery,No,P.F. Chang’s,https://www.yelp.com/adredir?ad_business_id=oGBLE8yq34WXb2QNuBkylA&campaign_id=ypS_c26HmtxTjLVNkxenvw&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fp-f-changs-greensboro-2&request_id=c2dc93172eb6841b&signature=9134ac8388655a508b7e6e5f54f79c7c87b014aabfcb160f04f31ac0f7e17268&slot=1,Darryl’s Wood Fired Grill,https://www.yelp.com/biz/darryls-wood-fired-grill-greensboro?page_src=related_bizes
Wed,11:30 am - 11:00 pm,Take-out,Yes,,,Lucky 32 Southern Kitchen,https://www.yelp.com/biz/lucky-32-southern-kitchen-greensboro?page_src=related_bizes
Thu,11:30 am - 11:00 pm,Accepts Credit Cards,Yes,,,,
Fri,11:30 am - 12:30 am,Good For,"Brunch, Lunch, Dinner, Dessert",,,,
Sat,10:00 am - 12:30 am,Parking,Private Lot,,,,
Sun,10:00 am - 11:00 pm,Bike Parking,No,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Very Loud,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,Yes,,,,
,,Wi-Fi,No,,,,
,,Has TV,Yes,,,,
,,Waiter Service,Yes,,,,
,,Caters,No,,,,
