Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 11:00 pm,Takes Reservations,Yes,Johnny Brusco’s New York Style Pizza,https://www.yelp.com/adredir?ad_business_id=t9JgVFVBqZIRUAynRSVOqA&campaign_id=Mwbe3-2bOqXk0bkeUBlTBg&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fjohnny-bruscos-new-york-style-pizza-vestavia-hills&request_id=3468ea7a2cf2828f&signature=8a5b3fe714f9a5e983b30a3403698dd123e576ecf546ef3194d4cb5915257937&slot=0,Urban Cookhouse,https://www.yelp.com/biz/urban-cookhouse-birmingham?page_src=related_bizes
Tue,11:00 am - 11:00 pm,Delivery,No,Pazzo! Big Slice Pizza,https://www.yelp.com/adredir?ad_business_id=XEjwH4ljYLrNdSdP8cDrvQ&campaign_id=D-722BugkZwYuY3qxH8BZg&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fpazzo-big-slice-pizza-hoover-2&request_id=3468ea7a2cf2828f&signature=3d1a0b9aca7b7e758aede5b7b06af8fda2e558960940d624eafb6f7df0ffd026&slot=1,Perry’s Steakhouse & Grille - Birmingham,https://www.yelp.com/biz/perrys-steakhouse-and-grille-birmingham-birmingham?page_src=related_bizes
Wed,11:00 am - 11:00 pm,Take-out,Yes,,,Five Bar,https://www.yelp.com/biz/five-bar-birmingham-3?page_src=related_bizes
Thu,11:00 am - 11:00 pm,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 12:30 am,Accepts Apple Pay,Yes,,,,
Sat,10:00 am - 12:30 am,Accepts Android Pay,No,,,,
Sun,10:00 am - 11:00 pm,Good For,"Brunch, Lunch, Dinner, Dessert",,,,
,,Bike Parking,No,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,Yes,,,,
,,Wi-Fi,No,,,,
,,Has TV,Yes,,,,
,,Waiter Service,Yes,,,,
,,Drive-Thru,No,,,,
,,Caters,Yes,,,,
