Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 12:00 am,Takes Reservations,Yes,Halftime Pizza,https://www.yelp.com/adredir?ad_business_id=_HaRoaEwVox493yTwJLlmA&campaign_id=LofVUw23_s05DAXjwWRA4A&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fhalftime-pizza-san-antonio-2&request_id=d1e28777fbb9a315&signature=ba3b85308585f14c2f6ebd2aa25a971ca0359195a1b20b9cfbf7a8149bee7bb4&slot=0,54th Street Grill and Bar,https://www.yelp.com/biz/54th-street-grill-and-bar-san-antonio-12?page_src=related_bizes
Tue,11:00 am - 12:00 am,Delivery,No,B Daddy’s BBQ,https://www.yelp.com/adredir?ad_business_id=jRQtuvZlGKzEc33hizYc3A&campaign_id=Lc2LMFWKzJzLYTIlJwthBw&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fb-daddys-bbq-helotes&request_id=d1e28777fbb9a315&signature=ef6acf9092820a410b64308001d84b26e0611a17a708ad15f5c3eb1f17a687f5&slot=1,Hop & Vine,https://www.yelp.com/biz/hop-and-vine-san-antonio?page_src=related_bizes
Wed,11:00 am - 12:00 am,Take-out,Yes,,,Mad Pecker Brewing,https://www.yelp.com/biz/mad-pecker-brewing-san-antonio-2?page_src=related_bizes
Thu,11:00 am - 12:00 am,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 1:00 am,Accepts Apple Pay,No,,,,
Sat,11:00 am - 1:00 am,Accepts Android Pay,Yes,,,,
Sun,11:00 am - 12:00 am,Good For,"Lunch, Dinner",,,,
,,Parking,Private Lot,,,,
,,Bike Parking,Yes,,,,
,,Wheelchair Accessible,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,Yes,,,,
,,Wi-Fi,Free,,,,
,,Has TV,Yes,,,,
,,Waiter Service,Yes,,,,
,,Caters,Yes,,,,
