Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
,,Takes Reservations,Yes,Paulo and Bill,https://www.yelp.com/adredir?ad_business_id=6OSJmkVAtatferz1D1bWAA&campaign_id=IQ1vegJOv5EfX_HeThBObA&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fpaulo-and-bill-shawnee&request_id=eb55ad0729f49784&signature=318d02c22dcc7366733c64dc79d1d3ca4f14c1d5757e7f6873af2d25c17058cc&slot=0,The Farmhouse,https://www.yelp.com/biz/the-farmhouse-kansas-city-3?page_src=related_bizes
,,Delivery,No,Fluffy Fresh Donuts,https://www.yelp.com/adredir?ad_business_id=_82OUAZJBqiO1P9KcdzKVQ&campaign_id=IZpWU5pEVbz26NwyykQ_sw&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Ffluffy-fresh-donuts-kansas-city&request_id=eb55ad0729f49784&signature=c354f295cc2ebc0ffd3ce34fbd7fd7ac8990add597a8f1b2af98e62c88f38f69&slot=1,Happy Gillis Cafe & Hangout,https://www.yelp.com/biz/happy-gillis-cafe-and-hangout-kansas-city?page_src=related_bizes
,,Take-out,Yes,,,The Westside Local,https://www.yelp.com/biz/the-westside-local-kansas-city?page_src=related_bizes
,,Accepts Credit Cards,Yes,,,,
,,Parking,Garage,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,Free,,,,
,,Has TV,Yes,,,,
,,Caters,Yes,,,,
