Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 9:30 pm,Takes Reservations,Yes,Kool Korner Sandwiches,https://www.yelp.com/adredir?ad_business_id=usTXW1aEUiYSx2aVBSquyA&campaign_id=QIOHM3oG1_MIrBtUCoHvEA&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fkool-korner-sandwiches-vestavia-hills-2&request_id=f8fe514ea82ceb9d&signature=efbec422962e08893c87505b106e46572ef67cbcb38fe6f0ecf011152493f6e8&slot=0,Pieology Pizzeria,https://www.yelp.com/biz/pieology-pizzeria-birmingham?page_src=related_bizes
Tue,11:00 am - 9:30 pm,Delivery,Yes,Full Moon BBQ,https://www.yelp.com/adredir?ad_business_id=yvNnzAD4WqQTpEUDcM9aOA&campaign_id=4UDwUx-nVHDBJKfGySO9dw&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Ffull-moon-bbq-birmingham&request_id=f8fe514ea82ceb9d&signature=3f75658a916bf091bc6ed137c1a160bdbdceb6c744ee57d17eacd30e98a98be0&slot=1,Urban Cookhouse,https://www.yelp.com/biz/urban-cookhouse-birmingham?page_src=related_bizes
Wed,11:00 am - 9:30 pm,Take-out,Yes,,,Marco’s Pizza,https://www.yelp.com/biz/marcos-pizza-birmingham-3?page_src=related_bizes
Thu,11:00 am - 9:30 pm,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 10:00 pm,Accepts Apple Pay,Yes,,,,
Sat,11:00 am - 10:00 pm,Good For,"Lunch, Dinner",,,,
Sun,11:00 am - 9:00 pm,Bike Parking,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,Yes,,,,
,,Wi-Fi,Free,,,,
,,Has TV,Yes,,,,
,,Caters,Yes,,,,
