Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
,,Takes Reservations,No,Country Donuts,https://www.yelp.com/adredir?ad_business_id=NsvWVDTLY_J_zHBNjLaHZw&campaign_id=wWhUMjRb_G6rt126J0NEiw&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fcountry-donuts-crystal-lake-3&request_id=812a74ce0501d76d&signature=662967d74fdc4837b1ac705060b3b4c12b397a5107925985a33d6f22726af32d&slot=0,Texas Roadhouse,https://www.yelp.com/biz/texas-roadhouse-crystal-lake?page_src=related_bizes
,,Delivery,No,Elgin BBQ Pit,https://www.yelp.com/adredir?ad_business_id=8IyknHPzVSwSTtzQM1aFxA&campaign_id=nC-l6i3lfw1JVaQ_fUJzuw&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Felgin-bbq-pit-elgin&request_id=812a74ce0501d76d&signature=c14c72910a5a753f6e50a018a23b5deec5de2247c79ca5e2bbe3e93a7210287c&slot=1,,
,,Take-out,Yes,,,,
,,Accepts Credit Cards,Yes,,,,
,,Parking,Private Lot,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Loud,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,No,,,,
,,Has TV,Yes,,,,
,,Caters,No,,,,
