Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 1:00 am Open now,Takes Reservations,Yes,Jersey Girl Cafe,https://www.yelp.com/adredir?ad_business_id=sDhOpHzdCQkG82zxzuf6Ew&campaign_id=-93Szxhh3ivUxRQegsdJgQ&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fjersey-girl-cafe-hamilton&request_id=7642058e59bb543b&signature=ba37438c19764514e24a92d30a2f398d55278ee8515e05d5700c8a3745397d02&slot=0,Bobby’s Burger Palace,https://www.yelp.com/biz/bobbys-burger-palace-princeton?page_src=related_bizes
Tue,11:00 am - 1:00 am,Delivery,No,Despaña,https://www.yelp.com/adredir?ad_business_id=aicDxL9wmEAMgcsy7Svoxw&campaign_id=unaU_SsLvsOS3uifyG3nLw&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdespa%25C3%25B1a-princeton-6&request_id=7642058e59bb543b&signature=572b59e8f518e6a6a51b41f685aaff80888d4bda4a6a36c586767c047f038b94&slot=1,Winberie’s Restaurant & Bar,https://www.yelp.com/biz/winberies-restaurant-and-bar-princeton?page_src=related_bizes
Wed,11:00 am - 1:00 am,Take-out,Yes,,,Ruby Tuesday,https://www.yelp.com/biz/ruby-tuesday-princeton?page_src=related_bizes
Thu,11:00 am - 1:00 am,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 2:00 am,Accepts Apple Pay,Yes,,,,
Sat,11:00 am - 2:00 am,Good For,"Lunch, Dinner",,,,
Sun,11:00 am - 1:00 am,Bike Parking,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,Free,,,,
,,Has TV,Yes,,,,
,,Caters,No,,,,
