Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
,,Takes Reservations,Yes,Italian Pizzeria,https://www.yelp.com/adredir?ad_business_id=fvGAPnNhydn86MKB0Ig0XQ&campaign_id=Ejf715CF_ccqxF1wOo7jVw&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fitalian-pizzeria-durham-2&request_id=c09a76587b8e6e03&signature=27bc6beddeaf82118c6ec80329b4b40e76c1b8df82a44399c5f2bb84ea402bce&slot=0,Heavenly Buffaloes,https://www.yelp.com/biz/heavenly-buffaloes-durham?page_src=related_bizes
,,Delivery,No,Tokyo Express,https://www.yelp.com/adredir?ad_business_id=-2QP1MVSBnLI4Vy5Pshhxw&campaign_id=sed_mV2srRhpPJvcLkUdrg&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Ftokyo-express-hillsborough&request_id=c09a76587b8e6e03&signature=d0191e1e7f3e227dc529db4671cd813551ead65fa76eefa8ddd26d84e15d5a0c&slot=1,Local 22,https://www.yelp.com/biz/local-22-durham?page_src=related_bizes
,,Take-out,Yes,,,The Federal,https://www.yelp.com/biz/the-federal-durham?page_src=related_bizes
,,Accepts Credit Cards,Yes,,,,
,,Accepts Android Pay,No,,,,
,,Parking,"Garage, Private Lot",,,,
,,Bike Parking,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Loud,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,Yes,,,,
,,Wi-Fi,Free,,,,
,,Has TV,Yes,,,,
,,Caters,No,,,,
