Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 2:00 am,Takes Reservations,No,Cousins Subs,https://www.yelp.com/adredir?ad_business_id=5sV9N8rB3TNBkp1K35WM5w&campaign_id=PWYZOucPB62xADGoEtE7TA&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fcousins-subs-madison&request_id=21b5b9e141c89a04&signature=ffbf3e88f00646e4ff60085dec689960985a8043f797d99e2c5f52e502c7ebd1&slot=0,Doolittles Woodfire Grill,https://www.yelp.com/biz/doolittles-woodfire-grill-madison?page_src=related_bizes
Tue,11:00 am - 2:00 am,Delivery,No,Monona Bakery & Eatery,https://www.yelp.com/adredir?ad_business_id=3aEASdWGHArGCQH-7don3A&campaign_id=0PguWXDPhfcJGWSJB3ArZg&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmonona-bakery-and-eatery-madison&request_id=21b5b9e141c89a04&signature=a1139f96ff8dda5a3fa69a9eea5a479b6fd9f19e12a59a49fbd1706b5b64119b&slot=1,Texas Roadhouse,https://www.yelp.com/biz/texas-roadhouse-madison?page_src=related_bizes
Wed,11:00 am - 2:00 am,Take-out,Yes,,,Red Robin Gourmet Burgers,https://www.yelp.com/biz/red-robin-gourmet-burgers-madison?page_src=related_bizes
Thu,11:00 am - 2:00 am,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 2:00 am,Accepts Apple Pay,No,,,,
Sat,11:00 am - 2:00 am,Good For,"Lunch, Dinner, Dessert",,,,
Sun,11:00 am - 2:00 am,Parking,Private Lot,,,,
,,Bike Parking,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,Yes,,,,
,,Wi-Fi,Free,,,,
,,Has TV,Yes,,,,
,,Caters,No,,,,
