Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
,,Takes Reservations,Yes,,,Grillstock Smokehouse,https://www.yelp.com/biz/grillstock-smokehouse-bristol?page_src=related_bizes
,,Delivery,No,,,Gourmet Burger Kitchen,https://www.yelp.com/biz/gourmet-burger-kitchen-bristol?page_src=related_bizes
,,Take-out,No,,,Rocotillos,https://www.yelp.com/biz/rocotillos-bristol?page_src=related_bizes
,,Accepted Cards,"Credit, Debit",,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,No,,,,
,,Has TV,No,,,,
