Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 1:00 am Open now,Takes Reservations,No,Pearl at Longshore Restaurant & Bar,https://www.yelp.com/adredir?ad_business_id=3w20P43fdr1cGcaB0bJ7lg&campaign_id=jM4I1wkZ_cx79cI7TiW7pQ&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fpearl-at-longshore-restaurant-and-bar-westport-2&request_id=5fcd790d244b3020&signature=42ba090253b47ae08a8dd306a2763f809a349ce8a05a1e7e95b241d39aa5a70a&slot=0,Wood-n-Tap Bar & Grill- Orange,https://www.yelp.com/biz/wood-n-tap-bar-and-grill-orange-orange?page_src=related_bizes
Tue,11:00 am - 1:00 am,Delivery,No,Andini’s Restaurant/Pizza,https://www.yelp.com/adredir?ad_business_id=W4sMEKZEKM6PoWPUpP65Mw&campaign_id=dL8Nd3TXrbsbkUuX1uNqtA&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fandinis-restaurant-pizza-orange&request_id=5fcd790d244b3020&signature=3a81385f1bf1fd61fa3893283d83e9ba4e2d1a18a945126dfee3980aa3db28fc&slot=1,Texas Roadhouse,https://www.yelp.com/biz/texas-roadhouse-west-haven?page_src=related_bizes
Wed,11:00 am - 1:00 am,Take-out,Yes,,,Uncle Willie’s BBQ,https://www.yelp.com/biz/uncle-willies-bbq-west-haven?page_src=related_bizes
Thu,11:00 am - 1:00 am,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 2:00 am,Good For,Lunch,,,,
Sat,11:00 am - 2:00 am,Parking,Private Lot,,,,
Sun,11:00 am - 1:00 am,Bike Parking,No,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,Free,,,,
,,Has TV,Yes,,,,
,,Waiter Service,Yes,,,,
,,Caters,No,,,,
,,Has Pool Table,No,,,,
